ID,Permalink,Title,Content,"Image Featured",Date,Duur,Kosten,Datum,Plaats,"Externe URL"
272,https://dutchdigitalagencies.com/event/dda-event/,"Kennissessie: Insights uit de kengetallen","<!-- wp:paragraph -->
<p>Op donderdag 27 augustus a.s. om 15.00 uur is de kennissessie ‘Insights uit de kengetallen’. Tijdens deze sessie delen we de highlights en trends uit het kengetallenonderzoek van het onderdeel Finance. Daarnaast bespreken we welke stuurinformatie je uit het dashboard kunt halen en kunt inzetten in de dagelijkse besturing van je bureau.<br><br>Deze sessie is alleen voor DDA-leden. Wil je erbij zijn? Mail ons dan via info@dutchdigitalagencies.com</p>
<!-- /wp:paragraph -->",,"2020-07-06 06:59:35",,,27/08/2020,Online,
2062,https://dutchdigitalagencies.com/event/kennissessie-salarishuis-en-functiegebouw/,"Kennissessie: Salarishuis en Functiegebouw","<!-- wp:paragraph -->
<p>Op donderdag 3 september om 15.00 uur is de kennissessie rondom het Salarishuis en functiegebouw. Tijdens de sessie vertelt Marloes Rutten van EVZ hoe je de cijfers kunt interpreteren. Hoe ga je om met de salarissen binnen je organisatie? Waar kun je rekening mee houden en hoe ga je een gesprek aan met je medewerkers over het salaris en de benchmark.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Deze sessie is alleen voor DDA-leden. Wil je erbij zijn? Mail ons dan via info@dutchdigitalagencies.com</p>
<!-- /wp:paragraph -->",,"2020-09-02 06:56:48",,,03/09/2020,Online,
2069,https://dutchdigitalagencies.com/event/dutch-digital-day/,"Dutch Digital Day","<!-- wp:paragraph -->
<p>Op vrijdag 18 september is de allereerste virtuele Dutch Digital Day!  <br>Van 14.30 - 16.30 uur word je omver geblazen door zeer inspirerende keynotes! En het is dus helemaal <strong><u>gratis</u></strong>.<br><br>2 uur lang inspiratie, innovatie en mindlbowing awesomeness met onverwachte wendingen. Met o.a. futurist Nell Watson, filmmaker Oobah Butler, trainer Wouter de Jong, digital artists Lucy Hardcastle and Amber Jae Slooten and spoken word artist Luan Buleshkaj.<br><br>No-brainer toch?! Registreer je nu via deze link en je bent erbij: <a href=""https://bit.ly/31fFuCp"" target=""_blank"" rel=""noreferrer noopener"">https://bit.ly/31fFuCp</a></p>
<!-- /wp:paragraph -->",,"2020-09-02 06:59:29",,,18/09/2020,Online,
2072,https://dutchdigitalagencies.com/event/webinar-intellectueel-eigendom/,"Webinar: Intellectueel Eigendom","<!-- wp:paragraph -->
<p><strong>Op donderdag 2 juli om 15.00 uur organiseren we in samenwerking met ICTRecht een webinar over Intellectueel Eigendom.&nbsp;</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Hoe ga je om met Intellectueel Eigendomsrecht? Welke afspraken maak je met klanten? Wat is belangrijk om vast te leggen en hoe doe je dat? Wat zijn absolute do’s en dont’s?</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Tijdens het webinar op 2 juli geeft Bram de Vos, jurist bij ICTRecht, uitleg over Intellectueel Eigendomsrecht.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Andere vragen die voorbij komen zijn:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul><li>Als kleiner bureau lopen we er regelmatig tegenaan dat we onvoldoende kennis in huis hebben van het Intellectueel Eigendomsrecht, toepasbaar op ons vakgebied. Meer dan eens vormt het een blokkade tijdens het formaliseren van het contract met de nieuwe klant, terwijl we eigenlijk staan te popelen te starten met het project. Wat moet er precies vastgelegd worden? Hoe kunnen we dat regelen?&nbsp;</li><li>Welke afspraken maak je met klanten over Intellectueel Eigendom? Een klant vertrekt na aantal jaar….en code, visuals, stijl, etc. vertrekken mee en daar wordt niet moeilijk over gedaan. Op zich voor de klant erg prettig, maar niet zo zakelijk handig voor ons als bureau. Hoe gaan we hier mee om?</li><li>Wij spelen met het idee om enkele van onze intellectuele eigendommen onder te brengen in een BV. Maar hoe doe je dat?&nbsp;</li></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p>De sessie is alleen voor DDA-leden. Wil je erbij zijn? Mail dan naar info@dutchdigitalagencies. </p>
<!-- /wp:paragraph -->",,"2020-09-02 07:06:29",,,02/07/2020,Online,
2137,https://dutchdigitalagencies.com/en/event/webinar-intellectueel-eigendom/,"Webinar: Intellectueel Eigendom","<!-- wp:paragraph -->
<p><strong>Op donderdag 2 juli om 15.00 uur organiseren we in samenwerking met ICTRecht een webinar over Intellectueel Eigendom.&nbsp;</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Hoe ga je om met Intellectueel Eigendomsrecht? Welke afspraken maak je met klanten? Wat is belangrijk om vast te leggen en hoe doe je dat? Wat zijn absolute do’s en dont’s?</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Tijdens het webinar op 2 juli geeft Bram de Vos, jurist bij ICTRecht, uitleg over Intellectueel Eigendomsrecht.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Andere vragen die voorbij komen zijn:</strong></p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul><li>Als kleiner bureau lopen we er regelmatig tegenaan dat we onvoldoende kennis in huis hebben van het Intellectueel Eigendomsrecht, toepasbaar op ons vakgebied. Meer dan eens vormt het een blokkade tijdens het formaliseren van het contract met de nieuwe klant, terwijl we eigenlijk staan te popelen te starten met het project. Wat moet er precies vastgelegd worden? Hoe kunnen we dat regelen?&nbsp;</li><li>Welke afspraken maak je met klanten over Intellectueel Eigendom? Een klant vertrekt na aantal jaar….en code, visuals, stijl, etc. vertrekken mee en daar wordt niet moeilijk over gedaan. Op zich voor de klant erg prettig, maar niet zo zakelijk handig voor ons als bureau. Hoe gaan we hier mee om?</li><li>Wij spelen met het idee om enkele van onze intellectuele eigendommen onder te brengen in een BV. Maar hoe doe je dat?&nbsp;</li></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p>De sessie is alleen voor DDA-leden. Wil je erbij zijn? Mail dan naar info@dutchdigitalagencies. </p>
<!-- /wp:paragraph -->",,"2020-09-02 07:06:29",,,02/07/2020,Online,
2138,https://dutchdigitalagencies.com/en/event/dutch-digital-day/,"Dutch Digital Day","<!-- wp:paragraph -->
<p>On friday 18 september is de allereerste virtuele Dutch Digital Day!  <br>Van 14.30 - 16.30 uur word je omver geblazen door zeer inspirerende keynotes! En het is dus helemaal <strong><u>gratis</u></strong>.<br><br>2 uur lang inspiratie, innovatie en mindlbowing awesomeness met onverwachte wendingen. Met o.a. futurist Nell Watson, filmmaker Oobah Butler, trainer Wouter de Jong, digital artists Lucy Hardcastle and Amber Jae Slooten and spoken word artist Luan Buleshkaj.<br><br>No-brainer toch?! Registreer je nu via deze link en je bent erbij: <a href=""https://bit.ly/31fFuCp"" target=""_blank"" rel=""noreferrer noopener"">https://bit.ly/31fFuCp</a></p>
<!-- /wp:paragraph -->",,"2020-09-02 06:59:29",,,18/09/2020,Online,
2139,https://dutchdigitalagencies.com/en/event/kennissessie-salarishuis-en-functiegebouw/,"Kennissessie: Salarishuis en Functiegebouw","<!-- wp:paragraph -->
<p>Op donderdag 3 september om 15.00 uur is de kennissessie rondom het Salarishuis en functiegebouw. Tijdens de sessie vertelt Marloes Rutten van EVZ hoe je de cijfers kunt interpreteren. Hoe ga je om met de salarissen binnen je organisatie? Waar kun je rekening mee houden en hoe ga je een gesprek aan met je medewerkers over het salaris en de benchmark.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Deze sessie is alleen voor DDA-leden. Wil je erbij zijn? Mail ons dan via info@dutchdigitalagencies.com</p>
<!-- /wp:paragraph -->",,"2020-09-02 06:56:48",,,03/09/2020,Online,
2140,https://dutchdigitalagencies.com/en/event/dda-event/,"Kennissessie: Insights uit de kengetallen","<!-- wp:paragraph -->
<p>Op donderdag 27 augustus a.s. om 15.00 uur is de kennissessie ‘Insights uit de kengetallen’. Tijdens deze sessie delen we de highlights en trends uit het kengetallenonderzoek van het onderdeel Finance. Daarnaast bespreken we welke stuurinformatie je uit het dashboard kunt halen en kunt inzetten in de dagelijkse besturing van je bureau.<br><br>Deze sessie is alleen voor DDA-leden. Wil je erbij zijn? Mail ons dan via info@dutchdigitalagencies.com</p>
<!-- /wp:paragraph -->",,"2020-07-06 06:59:35",,,27/08/2020,Online,
3652,https://dutchdigitalagencies.com/event/webinar-privacy-shield/,"Webinar: Privacy Shield","<!-- wp:paragraph -->
<p>Op 16 juli werd het&nbsp;<strong>Privacy Shield</strong>&nbsp;ongeldig verklaard door het Hof van Justitie van de Europese Unie in de zogenoemde Schrems II zaak. Deze uitspraak heeft consequenties voor iedereen die persoonsgegevens laat verwerken in een derde land, met name in de Verenigde Staten.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Tijdens een webinar op&nbsp;<strong>donderdag 22 oktober</strong>&nbsp;geeft Laura Monhemius van ICTRecht uitleg over de veranderingen. Wat speelt er precies? Wat heeft dit voor consequenties? Moeten bestaande contracten worden aangepast? Is het verstandig om de samenwerking met verwerkers buiten Europa op te zeggen en binnen Europa een andere partner te zoeken?&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Wil je hierbij zijn? Meld je dan aan via&nbsp;<a>info@dutchdigitalagencies.com</a>, zodat wij de link met je kunnen delen. </p>
<!-- /wp:paragraph -->",,"2020-10-19 09:04:24","1 uur",,22/10/2020,Online,
3657,https://dutchdigitalagencies.com/event/dutch-interactive-awards/,"Dutch Interactive Awards","<!-- wp:paragraph -->
<p>Wie hebben de allerbeste digitale projecten live gezet? De DIA zijn de vakprijzen voor het belangrijkste digital interactive werk van Nederlandse makers. Met dit jaar de bekroning online in een feestelijke live show in bijzijn van alle vooraanstaande bureaus, opdrachtgevers en professionals. Wil je erbij zijn? Meld je dan <a href=""https://dutch-interactive-awards.heysummit.com"" target=""_blank"" rel=""noreferrer noopener"">hier</a> aan. </p>
<!-- /wp:paragraph -->",,"2020-10-19 09:09:30","2 uur",,03/11/2020,,
