Title,Content,WPML Language Code,E-mailadres voor contact,Logo,Banner,Provincies,Omvang,Slogan,Plaats(en),Locaties_primary,Locaties_location_label,Locaties_address,Locaties_postcode,Locaties_city,Locaties_phonenumber,Locaties_emailaddress,Locaties_kvk_number,Locaties_website_url,Tekst
Happy Horizon,"<strong>Jouw creative digital agency op het gebied van strategisch denken, analyseren, creativiteit, digitale diensten en technologie.</strong>

Wij zijn experts in strategisch denken, analyseren, creativiteit, digitale diensten en technologie. In combinatie met de industriekennis in onze branchebenaderingen zorgen we ervoor dat jouw stip op de horizon geen vergezicht blijft. En dat jij jouw bestemming bereikt, waarbij de reis net zo leuk is.",nl,info@happyhorizon.com,https://dutchdigitalagencies.com/wp-content/uploads/2023/03/HH_Woordmerk_RGB_yellow_met-discriptor.png,https://dutchdigitalagencies.com/wp-content/uploads/2023/03/5544_HH_LI_Header_1584x3963-scaled.jpg,Gelderland|Noord-Brabant|Noord-Holland|Overijssel|Utrecht|Zuid-Holland,250+,Your creative digital agency,"Eindhoven, Arnhem, Tilburg, Amsterdam, Utrecht, Den Haag, Nijmegen",||||||,Eindhoven|Amsterdam|Arnhem|Den Haag|Tilburg|Utrecht|GX Software,"Vrijstraat 9 C/D|Ellermanstraat 23|Parktoren, Stationsstraat 20|Laan van Waalhaven 460|Willem II straat 45|Varrolaan 118|Wijchenseweg 111",5611AT|1114 AK |6811 KS|2497 GR|5038 BC|3584 BW|6538 SW,Eindhoven|Amsterdam|Arnhem|Den Haag|Tilburg|Utrecht|Nijmegen,+31 (0)40 246 1991|+31 (0)20 722 0933|+31 (0)85 210 0818|070 390 3324|+31 (0)13 582 1592|030 820 0238|+31 (0) 24 388 82 61,info@happyhorizon.com|info@happyhorizon.com|info@happyhorizon.com|info@happyhorizon.com|info@happyhorizon.com|info@happyhorizon.com|info@happyhorizon.com,66371856|66371856|66371856|66371856|66371856|66371856|10044410,www.happyhorizon.com|https://happyhorizon.com/|https://happyhorizon.com/|https://happyhorizon.com/|https://happyhorizon.com/|https://happyhorizon.com/|,
DDB Unlimited,"Die wereld van ons. Transformatie, de nieuwe technologie en de snelheid. We love it! De eindeloze kansen die het creëert, de innovatie die het brengt en de energie die het oplevert.



Succes. Daar hebben we een formule voor: mix data met creativiteit en zorg dat het perfect wordt uitgeserveerd. Performance verzekerd.",nl,hello@ddbunlimited.nl,,,Noord-Holland,50-99,(Science x Magic)Delivery = Performance,Amstelveen,1,DDB Unlimited,Prof WH Keesomlaan 4,1183DJ,Amstelveen,,hello@ddbunlimited.nl,,,
Nextly,"Wil jij vooroplopen of juist meegaan met de digitale wereld? Dan moet je als bedrijf blijven ontwikkelen. Als verbinder van technologie en creativiteit vertalen wij jouw bedrijfsstrategieën naar de beste digitale oplossing. Op basis van marktinzichten, behoeften van de gebruikers en technologie vertalen wij elk vraagstuk naar een passend (digitaal) product. Zo blijf jij groeien.

<h2>Waar standaard systemen stoppen, gaat Nextly verder.</h2>

<div class=""prose text-base prose-img:w-full dark:prose-invert "">



Nextly creëert al meer dan 20 jaar online portalen, mijn-omgevingen, interfaces en andere digitale oplossingen. Elke keer weer afgestemd op de specifieke behoeftes en processen van het bedrijf. Wij werken niet vóór klanten. Wij werken mét klanten. De afgelopen jaren zijn we veel strategische partnerschappen aangegaan, in uiteenlopende branches. Elk met hun eigen uitdaging en oplossing.



&nbsp;



</div>

&nbsp;



&nbsp;",nl,arjan.vanden.broek@nextly.nl,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/logo-nextly-sq-white.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/groepsfoto-karten-2023-scaled.jpg,Utrecht,25-49,Portals en Mijn-omgevingen op maat,Mijdrecht,1,Nextly HQ,Industrieweg 15,3641RK,Mijdrecht,,hallo@nextly.nl,,https://nextly.nl,
Conclusion Experience,"<div class=""page"" title=""Page 1"">

<div class=""layoutArea"">

<div class=""column"">



Over Conclusion Experience



Conclusion Experience is een bureaugroep die opdrachtgevers faciliteert op elk gebied van de digitale klantreis en klantervaring. Het bedrijf opereert binnen drie domeinen, namelijk digital strategy, development &amp; data en performance marketing &amp; growth. Met een gedreven groep professionals realiseert de bureaugroep digitale ambities van organisaties ‘end to end’ vanuit hun expertises en ondernemersgeest. Conclusion Experience bestaat uit elf bedrijven en telt 460 medewerkers.



</div>

We hebben hubs in Amsterdam, Utrecht, Rotterdam, Breda, Wormer, Groningen en Maastricht.



</div>

</div>",nl,bjorn.kellerman@conclusion.nl,https://dutchdigitalagencies.com/wp-content/uploads/2024/04/LinkedIn-profile-picture-300-x-300-px.png,https://dutchdigitalagencies.com/wp-content/uploads/2024/04/097_tych.effectgroep.4ng.conclusion.240201.jpg,Groningen|Limburg|Noord-Brabant|Noord-Holland|Utrecht,250+,Experience Matters,"Utrecht, Wormer, Amsterdam, Breda, Groningen, Maastricht",0|0|0|0|0|0|0,Hoofdkantoor|Nextfields part of 4NG|Netvlies part of 4NG|Arlanet part of 4NG|Bikkelhart part of 4NG|theFactor.e|Maastricht,Hoofdstraat 23|Willem Fenengastraat 4b|Prinsenkade 8|Veerdijk 40-K|Pedro de Medinalaan 9|Friesestraatweg 215a|Hoogbrugstraat 43,3971 KA|1096 BN|4811 VB|1531 MS |1086 XK |9743 AD|6221 CP ,Driebergen|Amsterdam|Breda|Wormer|Amsterdam|Gronningen|Maastricht,|0624959013||||0343444554|,Bjorn@4net.com|bjorn@4ng.nl|Bjorn@4ng.nl|Bjorn@4net.com|bjorn@4ng.nl|bjorn@4ng.nl|bjorn@4ng.nl,30185941|30185941||34165987||02056186|,https://4ng.nl|https://4ng.nl|https://4ng.nl|https://4ng.nl|||,
Bitfactory,"<strong>Wij zijn Bitfactory, een digital product agency</strong>

Al meer dan 25 jaar maken wij digitale producten voor mensen, echte mensen. Mensen zoals jij, mensen zoals wij. Mensen die de ambitie hebben om dingen te veranderen, slimmer willen doen en beter te maken. Wij maken digitale producten die beter zijn. Beter voor jou en jouw klanten. Of dit nu consumenten, B2B-klanten, medewerkers, leveranciers of partners zijn. Met onze specialistische tech-units ontwikkelen we (next level) digitale producten op het gebied van <a href=""https://www.bitfactory.nl/product/e-commerce/"">e-commerce,</a> <a href=""https://www.bitfactory.nl/service/data-ai/"">AI-toepassingen,</a> <a href=""https://www.bitfactory.nl/product/software/"">maatwerk software</a> en <a href=""https://www.bitfactory.nl/product/sites/"">sites</a>.



Naast onze producten, helpen we klanten met diverse diensten, zoals <a href=""https://www.bitfactory.nl/service/cx-design/digital-strategy/"">strategie</a>, <a href=""https://www.bitfactory.nl/service/cx-design/"">CX design</a>, <a href=""https://www.bitfactory.nl/service/marketing/"">online marketing</a>, <a href=""https://www.bitfactory.nl/service/data-ai/"">data</a>, <a href=""https://www.bitfactory.nl/service/development/support-maintenance/"">hosting en support.</a> Op deze manier krijgen klanten ‘the best of both worlds’; werken met één bureau, maar wel met échte specialisten binnen de specifieke domeinen.



<strong>Let’s talk</strong>

Neem <a href=""https://www.bitfactory.nl/contact/"">contact</a> met ons op of kom langs in onze factory voor een kop koffie!",nl,gerda@bitfactory.nl,https://dutchdigitalagencies.com/wp-content/uploads/2024/08/BF-Logo-Yellow.png,https://dutchdigitalagencies.com/wp-content/uploads/2024/08/2023-11-30_BITFACTORY_1015-scaled.jpg,Zuid-Holland,50-99,"We zijn mensgericht, technologie gedreven",Rotterdam,1,Bitfactory,Goudsesingel 164,3011 KD,Rotterdam,104774032,info@bitfactory.nl,24493626,https://bitfactory.nl,
B.made,"B.made is een snelgroeiend digitaal communicatiebureau, dat digitale oplossingen biedt aan bedrijven die actief zijn op het gebied van sport, entertainment en leisure.

<strong>Unieke combinatie tussen content en techniek
</strong>B.made, gevestigd in Rotterdam-Zuid tegenover de Kuip, is de plek waar content en techniek samenkomen en elkaar verrijken. Ons bedrijf telt momenteel zo’n 40 medewerkers waaronder developers, marketeers, designers, digitaal specialisten, fotografen en videospecialisten.

<strong>Beleving rondom merken
</strong>Onze passie is om merken tot leven te laten komen en beleving te creëren rondom merken zoals Feyenoord, Delta Fiber Nederland, the Dutch en artiesten zoals Jebroer. Dit doen we door technische platforms (Sitecore), websites en apps te ontwikkelen en te voorzien van innovatieve content die we personaliseren en in-house maken.

<strong>Wil je kennis maken met B.made? Kom gezellig een kop koffie drinken in onze studio met een prachtig uitzicht over Rotterdam.</strong>",nl,m.vandenijssel@bmade.nl,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/Logo@2x-12.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/header@2x-12.png,Zuid-Holland,25-49,Creative technology designed for you,Rotterdam,,Rotterdam,"Stadionweg, 41- 43",3077 AS,Rotterdam,+31 (0)10 483 61 03,m.vandenijssel@bmade.nl,50562630,,
Conclusion Digital,"Conclusion Digital is een full service digital agency, gevestigd in Amsterdam, Utrecht en Heerlen. Wij hebben alle digitale expertise in huis om uw organisatie te helpen transformeren, innoveren en groeien in een disrupted markt. 



Ons team bestaat uit 90 professionals: creatieve strategen, concept denkers, user experience (UX) designers, user interface (UI) en visual designers, web developers, mobile developers en applicatie developers. 



Meer informatie: www.facebook.com/digital.conclusion en http://www.conclusion.digital",nl,shensing@conclusion.nl,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/5ad9ae06b8cddcca9e94b59d848067f6382304db1ad4e.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/5add959a3329d3ab7f360775b4f6d6147aa8cceab6d8b.jpg,,50-99,,,,,,,,,,,,
DotControl,"<strong>Wij zijn DotControl. Een data-driven creative agency met kantoren in Rotterdam, Heerlen en Willemstad Curacao.</strong>



Met ons team van rond de 60 creatieven, developers en growth hackers bouwen we elke dag aan de digitale ambities van onze klanten zoals: National Geographic, Eredivisie, Talpa, Nederlandse Loterij, DPG Media, VSM, Microsoft en VARO Energy.

<h6>We ontwikkelen producten en ervaringen, zoals websites, apps, games en campagnes, waar mensen over de hele wereld mee werken en mee spelen. Producten die de doelstellingen van onze klanten elke dag weer overtreffen. Van concept tot oplevering en continue optimalisatie.Niet bedacht vanuit een onderbuikgevoel maar gebaseerd op data. Meningen en ervaringen van échte mensen.</h6>

DotControl biedt services zoals: Digital Strategy Development, Concept Development, Visual Design, Interaction Design, Content Marketing, Mobile Development, Web Development, Software Development en Growth Hacking.",nl,Mark@dotcontrol.nl,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/dc-logo-white-5e58e.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/59a3c05dc8da58587bcd46e58dee6ffe81d91e7b1a4e5.jpg,Limburg|Zuid-Holland,50-99,,"Rotterdam, Heerlen, Curacao ",||,Van Nelle fabriek |Heerlen|Willemstad ,Van Nelleweg 1|Valkenburgerweg 54|Bitterstraat 17,3044 BC|6419 AV|3044 BC,Rotterdam|Heerlen|Willemstad ,0107144646 |0107144646 |0107144646,laura.haerkens@dotcontrol.com|laura.haerkens@dotcontrol.com|laura.haerkens@dotcontrol.com,||,||,
dpdk,"Some clients call us a creative agency. Others see us as a production company, a design boutique, a technology firm, a game studio or even a usability specialist. We are all those roles merged into one energetic agency. Being that diverse isn’t easy, but it’s the future as we see it. People's expectations are shifting faster than ever before. So you need to stay up to date with a partner that adapts just as quick as the digital space changes.Since 2001 we have been combining our partners’ goals with user expectations, creating digital products that last.",nl,pim.van.helten@dpdk.com,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/dpdk_logo_500x500.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/10/dpdk_canteen_1280.jpg,,25-49,,,||,Rotterdam|New York|San Francisco,"Calandstraat 5A|185 Wythe Ave, Brooklyn |44 Tehama St, San Francisco",3016 CA|11249|94105,"Rotterdam|New York|San Francisco, CA", 010 440 0960|+1 718-782-4050| +1 718-782-4050,paul.jitta@dpdk.com|paul.jitta@dpdk.com|paul.jitta@dpdk.com,||,||,
Driebit,"Wij zijn betrokken professionals voor zinnige online toepassingen.



Driebit gelooft dat je met internet de wereld verder kunt helpen. Door mensen te verbinden en in beweging te brengen, kennis te delen en cultuur te verspreiden.



We maken slimme online toepassingen &amp; platformen, van het eerste idee via een inventief ontwerp tot een vlekkeloze uitvoering.



Door nauwe samenwerking en voortdurend contact met opdrachtgevers, zorgen onze eigenzinnige en betrokken professionals voor een toepassing die werkt.



Driebit gelooft in duurzaamheid: zowel in de bedrijfsvoering als in relaties met klanten en medewerkers.",nl,folkwin@driebit.nl,https://dutchdigitalagencies.com/wp-content/uploads/2021/01/Logo-Driebit-Groen.png,https://dutchdigitalagencies.com/wp-content/uploads/2020/12/Driebit-DDA.jpg,Noord-Holland,10-24,Online platformen & digitale tools die de wereld mooier maken,Amsterdam,0,Amsterdam,Oudezijds Voorburgwal 282,1012 GL,Amsterdam,,info@driebit.nl,34161465,,
